frame_no,old_axis,old_origin,new_axis,new_origin,axis_difference (deg)
500,"[0.011968746025003085, -0.0016063944652806583, 0.009601321237503235]","[12.460005977481947, 15.987952717219445, 4.953062244943058]",[ 1.18206409 -0.14097714  1.        ],"[12.460005977481947, 15.987952717219445, 4.953062244943058]",1.6762521744636658
510,"[-0.0019314078944461244, -0.0013321397458323503, 0.0004922087541663345]","[12.448037231456944, 15.989559111684725, 4.943460923705555]",[-1.16066744  0.13176291 -1.        ],"[12.448037231456944, 15.989559111684725, 4.943460923705555]",64.72427297319462
520,"[0.02102767300555186, -0.016407615815275278, -0.015214461975001647]","[12.44996863935139, 15.990891251430558, 4.942968714951388]",[ 1.16364072 -0.14019188  1.        ],"[12.44996863935139, 15.990891251430558, 4.942968714951388]",75.86324607286603
530,"[0.004056881945835755, -0.03294570663611651, -0.020739087209720175]","[12.428940966345838, 16.007298867245833, 4.95818317692639]",[-1.15352781  0.13329052 -1.        ],"[12.428940966345838, 16.007298867245833, 4.95818317692639]",78.78280344839685
540,"[0.0028670527555512137, -0.03766834826804555, -0.004788134205557348]","[12.424884084400002, 16.04024457388195, 4.97892226413611]",[ 1.17121439 -0.13168584  1.        ],"[12.424884084400002, 16.04024457388195, 4.97892226413611]",86.56146238561085
550,"[0.018157869118061498, -0.010549200334732944, 0.01755992297222342]","[12.422017031644451, 16.077912922149995, 4.9837103983416675]",[ 1.14654737 -0.12650294  1.        ],"[12.422017031644451, 16.077912922149995, 4.9837103983416675]",18.138609413392317
560,"[0.015962862897222152, -0.011669637362491159, 0.016288704947222676]","[12.40385916252639, 16.088462122484728, 4.966150475369444]",[ 1.16841246 -0.13277907  1.        ],"[12.40385916252639, 16.088462122484728, 4.966150475369444]",22.674543455580594
570,"[-0.0008257820527752813, -0.0001724767569477592, 0.016649537938890013]","[12.387896299629167, 16.10013175984722, 4.949861770422221]",[ 1.17272953 -0.12698675  1.        ],"[12.387896299629167, 16.10013175984722, 4.949861770422221]",52.47476163085337
580,"[-0.009951865663895276, -0.0027079294347132077, 0.01374722643333115]","[12.388722081681943, 16.100304236604167, 4.933212232483331]",[ 1.21232537 -0.14320018  1.        ],"[12.388722081681943, 16.100304236604167, 4.933212232483331]",85.62234207858388
590,"[0.006743966923616895, -0.011727962886116217, 0.013107036787499027]","[12.398673947345838, 16.10301216603888, 4.91946500605]",[ 1.19718206 -0.14033964  1.        ],"[12.398673947345838, 16.10301216603888, 4.91946500605]",39.30906130023485
600,"[0.000860899934721715, -0.021412815384731942, 0.0105125938999997]","[12.391929980422221, 16.114740128924996, 4.906357969262501]",[ 1.19495119 -0.14464286  1.        ],"[12.391929980422221, 16.114740128924996, 4.906357969262501]",66.92748022282944
610,"[-0.007263245352772785, 0.0311793608833284, -0.01065666830972134]","[12.3910690804875, 16.13615294430973, 4.8958453753625015]",[-1.18389577  0.1358731  -1.        ],"[12.3910690804875, 16.13615294430973, 4.8958453753625015]",63.41314531996697
620,"[-0.006238556919436533, -0.03133967908472357, -0.001187015445831996]","[12.383805835134726, 16.167332305193057, 4.88518870705278]",[-1.21171347  0.13799968 -1.        ],"[12.383805835134726, 16.167332305193057, 4.88518870705278]",84.97016766635049
630,"[0.0050522687805507616, -0.010532807800000654, -0.0019153895583334801]","[12.390044392054163, 16.19867198427778, 4.886375722498612]",[ 1.21246144 -0.12026984  1.        ],"[12.390044392054163, 16.19867198427778, 4.886375722498612]",72.93051246720887
640,"[0.011383257662501478, -0.0004788839680571755, -0.02217563988055815]","[12.384992123273612, 16.20920479207778, 4.888291112056946]",[-1.22892562  0.1224934  -1.        ],"[12.384992123273612, 16.20920479207778, 4.888291112056946]",78.16159803234322
650,"[-0.002619728115277553, 0.002353634023609885, -0.0421460367999984]","[12.396375380936114, 16.208725908109724, 4.8661154721763875]",[-1.21090737  0.11653542 -1.        ],"[12.396375380936114, 16.208725908109724, 4.8661154721763875]",46.79901400504336
660,"[-0.0038038405833340505, -0.013891734084722884, 0.011664324280554084]","[12.393755652820836, 16.211079542133334, 4.823969435376389]",[ 1.18764715 -0.12643868  1.        ],"[12.393755652820836, 16.211079542133334, 4.823969435376389]",72.03831980088913
670,"[0.012611936959725512, -0.021968180731946063, -0.00893743835694405]","[12.39755949340417, 16.224971276218056, 4.812305111095835]",[ 1.18211274 -0.11297096  1.        ],"[12.39755949340417, 16.224971276218056, 4.812305111095835]",78.30489624421561
680,"[-0.005256198794441502, -0.026381610499999653, 0.002893490455554648]","[12.384947556444445, 16.246939456950003, 4.821242549452779]",[-1.18333132  0.11076074 -1.        ],"[12.384947556444445, 16.246939456950003, 4.821242549452779]",89.44877360804557
